RUN	restfulapi.RestfulApiTest	restfulapitest	1721421012454	 	3.11.3
REQUEST		UPDATE Item	1721421014810	1721421015157	OK	 
REQUEST		UPDATE Item	1721421015011	1721421015357	OK	 
REQUEST		GET Item 	1721421015157	1721421015467	OK	 
USER	Result API Dev	END	1721421015469
USER	Result API Dev	START	1721421015469
REQUEST		UPDATE Item	1721421015116	1721421015479	OK	 
REQUEST		UPDATE Item	1721421014420	1721421015482	OK	 
REQUEST		UPDATE Item	1721421015156	1721421015522	OK	 
REQUEST		GET Item 	1721421015358	1721421015675	OK	 
USER	Result API Dev	END	1721421015676
USER	Result API Dev	START	1721421015676
REQUEST		UPDATE Item	1721421014658	1721421015741	OK	 
REQUEST		GET Item 	1721421015480	1721421015781	OK	 
USER	Result API Dev	END	1721421015783
USER	Result API Dev	START	1721421015783
REQUEST		GET Item 	1721421015482	1721421015793	OK	 
USER	Result API Dev	END	1721421015795
USER	Result API Dev	START	1721421015795
REQUEST		GET Item 	1721421015523	1721421015820	OK	 
USER	Result API Dev	END	1721421015822
USER	Result API Dev	START	1721421015822
REQUEST		CREATE Item	1721421015470	1721421015845	OK	 
REQUEST		CREATE Item	1721421014770	1721421015915	OK	 
REQUEST		GET Item 	1721421014918	1721421015961	OK	 
USER	Result API Dev	END	1721421015962
USER	Result API Dev	START	1721421015963
REQUEST		CREATE Item	1721421015677	1721421016005	OK	 
REQUEST		CREATE Item	1721421014957	1721421016031	OK	 
REQUEST		GET Item 	1721421015742	1721421016046	OK	 
USER	Result API Dev	END	1721421016047
USER	Result API Dev	START	1721421016047
REQUEST		CREATE Item	1721421015795	1721421016141	OK	 
REQUEST		CREATE Item	1721421015822	1721421016159	OK	 
REQUEST		UPDATE Item	1721421015846	1721421016190	OK	 
REQUEST		CREATE Item	1721421015963	1721421016283	OK	 
REQUEST		UPDATE Item	1721421016006	1721421016362	OK	 
REQUEST		CREATE Item	1721421015087	1721421016395	OK	 
REQUEST		CREATE Item	1721421016047	1721421016449	OK	 
REQUEST		UPDATE Item	1721421016142	1721421016506	OK	 
REQUEST		GET Item 	1721421016191	1721421016520	OK	 
USER	Result API Dev	END	1721421016522
USER	Result API Dev	START	1721421016522
REQUEST		UPDATE Item	1721421016283	1721421016634	OK	 
REQUEST		GET Item 	1721421016363	1721421016678	OK	 
USER	Result API Dev	END	1721421016680
USER	Result API Dev	START	1721421016680
REQUEST		UPDATE Item	1721421016395	1721421016766	OK	 
REQUEST		GET Item 	1721421016507	1721421016836	OK	 
USER	Result API Dev	END	1721421016838
USER	Result API Dev	START	1721421016838
REQUEST		UPDATE Item	1721421016450	1721421016860	OK	 
REQUEST		CREATE Item	1721421016522	1721421016871	OK	 
REQUEST		CREATE Item	1721421015783	1721421016920	OK	 
REQUEST		CREATE Item	1721421016680	1721421017024	OK	 
REQUEST		UPDATE Item	1721421016032	1721421017082	OK	 
REQUEST		CREATE Item	1721421016838	1721421017194	OK	 
REQUEST		UPDATE Item	1721421016160	1721421017197	OK	 
REQUEST		GET Item 	1721421016861	1721421017226	OK	 
USER	Result API Dev	END	1721421017227
USER	Result API Dev	START	1721421017227
REQUEST		UPDATE Item	1721421015916	1721421017243	OK	 
REQUEST		UPDATE Item	1721421016920	1721421017269	OK	 
REQUEST		UPDATE Item	1721421016872	1721421017287	OK	 
REQUEST		UPDATE Item	1721421017025	1721421017369	OK	 
REQUEST		UPDATE Item	1721421017195	1721421017541	OK	 
REQUEST		GET Item 	1721421017198	1721421017552	OK	 
USER	Result API Dev	END	1721421017553
USER	Result API Dev	START	1721421017554
REQUEST		GET Item 	1721421017270	1721421017579	OK	 
USER	Result API Dev	END	1721421017580
USER	Result API Dev	START	1721421017580
REQUEST		GET Item 	1721421017288	1721421017601	OK	 
USER	Result API Dev	END	1721421017602
USER	Result API Dev	START	1721421017602
REQUEST		GET Item 	1721421017243	1721421017609	OK	 
USER	Result API Dev	END	1721421017610
USER	Result API Dev	START	1721421017610
REQUEST		GET Item 	1721421017369	1721421017674	OK	 
USER	Result API Dev	END	1721421017675
USER	Result API Dev	START	1721421017675
REQUEST		GET Item 	1721421016635	1721421017709	OK	 
USER	Result API Dev	END	1721421017711
USER	Result API Dev	START	1721421017711
REQUEST		GET Item 	1721421016767	1721421017813	OK	 
USER	Result API Dev	END	1721421017815
USER	Result API Dev	START	1721421017815
REQUEST		CREATE Item	1721421017554	1721421017883	OK	 
REQUEST		CREATE Item	1721421017581	1721421017918	OK	 
REQUEST		CREATE Item	1721421017603	1721421017945	OK	 
REQUEST		CREATE Item	1721421017676	1721421018010	OK	 
REQUEST		CREATE Item	1721421017711	1721421018063	OK	 
REQUEST		CREATE Item	1721421017815	1721421018128	OK	 
REQUEST		GET Item 	1721421017083	1721421018136	OK	 
USER	Result API Dev	END	1721421018137
USER	Result API Dev	START	1721421018138
REQUEST		UPDATE Item	1721421017884	1721421018219	OK	 
REQUEST		UPDATE Item	1721421017918	1721421018279	OK	 
REQUEST		CREATE Item	1721421017227	1721421018291	OK	 
REQUEST		UPDATE Item	1721421017946	1721421018344	OK	 
REQUEST		UPDATE Item	1721421018129	1721421018447	OK	 
REQUEST		UPDATE Item	1721421018064	1721421018465	OK	 
REQUEST		GET Item 	1721421018219	1721421018535	OK	 
USER	Result API Dev	END	1721421018536
USER	Result API Dev	START	1721421018536
REQUEST		CREATE Item	1721421018138	1721421018546	OK	 
REQUEST		CREATE Item	1721421017610	1721421018606	OK	 
REQUEST		GET Item 	1721421018345	1721421018646	OK	 
USER	Result API Dev	END	1721421018648
USER	Result API Dev	START	1721421018648
REQUEST		UPDATE Item	1721421018291	1721421018654	OK	 
REQUEST		GET Item 	1721421018447	1721421018758	OK	 
USER	Result API Dev	END	1721421018759
USER	Result API Dev	START	1721421018760
REQUEST		GET Item 	1721421017542	1721421018816	OK	 
USER	Result API Dev	END	1721421018817
USER	Result API Dev	START	1721421018818
REQUEST		GET Item 	1721421018465	1721421018821	OK	 
USER	Result API Dev	END	1721421018822
USER	Result API Dev	START	1721421018823
REQUEST		CREATE Item	1721421018537	1721421018860	OK	 
REQUEST		UPDATE Item	1721421018547	1721421018885	OK	 
REQUEST		UPDATE Item	1721421018607	1721421018912	OK	 
REQUEST		GET Item 	1721421018654	1721421018964	OK	 
USER	Result API Dev	END	1721421018965
USER	Result API Dev	START	1721421018965
REQUEST		CREATE Item	1721421018648	1721421018976	OK	 
REQUEST		UPDATE Item	1721421018011	1721421019092	OK	 
REQUEST		CREATE Item	1721421018823	1721421019199	OK	 
REQUEST		GET Item 	1721421018885	1721421019200	OK	 
USER	Result API Dev	END	1721421019201
USER	Result API Dev	START	1721421019202
REQUEST		GET Item 	1721421018912	1721421019206	OK	 
USER	Result API Dev	END	1721421019207
USER	Result API Dev	START	1721421019207
REQUEST		UPDATE Item	1721421018861	1721421019209	OK	 
REQUEST		UPDATE Item	1721421018976	1721421019272	OK	 
REQUEST		CREATE Item	1721421018965	1721421019343	OK	 
REQUEST		GET Item 	1721421019093	1721421019410	OK	 
USER	Result API Dev	END	1721421019411
USER	Result API Dev	START	1721421019411
REQUEST		GET Item 	1721421019209	1721421019496	OK	 
USER	Result API Dev	END	1721421019496
USER	Result API Dev	START	1721421019497
REQUEST		UPDATE Item	1721421019200	1721421019544	OK	 
REQUEST		CREATE Item	1721421019208	1721421019547	OK	 
REQUEST		GET Item 	1721421018279	1721421019550	OK	 
USER	Result API Dev	END	1721421019551
USER	Result API Dev	START	1721421019551
REQUEST		CREATE Item	1721421019202	1721421019570	OK	 
REQUEST		GET Item 	1721421019273	1721421019588	OK	 
USER	Result API Dev	END	1721421019589
USER	Result API Dev	START	1721421019589
REQUEST		UPDATE Item	1721421019344	1721421019672	OK	 
REQUEST		CREATE Item	1721421019412	1721421019749	OK	 
REQUEST		CREATE Item	1721421018818	1721421019862	OK	 
REQUEST		CREATE Item	1721421018760	1721421019862	OK	 
REQUEST		UPDATE Item	1721421019548	1721421019875	OK	 
REQUEST		CREATE Item	1721421019497	1721421019891	OK	 
REQUEST		CREATE Item	1721421019552	1721421019896	OK	 
REQUEST		UPDATE Item	1721421019571	1721421019915	OK	 
REQUEST		CREATE Item	1721421019589	1721421019970	OK	 
REQUEST		UPDATE Item	1721421019750	1721421020109	OK	 
REQUEST		UPDATE Item	1721421019863	1721421020211	OK	 
REQUEST		UPDATE Item	1721421019863	1721421020220	OK	 
REQUEST		GET Item 	1721421019876	1721421020243	OK	 
USER	Result API Dev	END	1721421020244
USER	Result API Dev	START	1721421020244
REQUEST		UPDATE Item	1721421019896	1721421020251	OK	 
REQUEST		UPDATE Item	1721421019892	1721421020252	OK	 
REQUEST		UPDATE Item	1721421019971	1721421020339	OK	 
REQUEST		GET Item 	1721421020109	1721421020406	OK	 
USER	Result API Dev	END	1721421020407
USER	Result API Dev	START	1721421020407
REQUEST		GET Item 	1721421020211	1721421020511	OK	 
USER	Result API Dev	END	1721421020512
USER	Result API Dev	START	1721421020512
REQUEST		GET Item 	1721421020253	1721421020567	OK	 
USER	Result API Dev	END	1721421020568
USER	Result API Dev	START	1721421020568
REQUEST		GET Item 	1721421020251	1721421020568	OK	 
USER	Result API Dev	END	1721421020569
USER	Result API Dev	START	1721421020569
REQUEST		GET Item 	1721421019545	1721421020580	OK	 
USER	Result API Dev	END	1721421020581
USER	Result API Dev	START	1721421020581
REQUEST		GET Item 	1721421019673	1721421020688	OK	 
USER	Result API Dev	END	1721421020689
USER	Result API Dev	START	1721421020689
REQUEST		GET Item 	1721421020339	1721421020694	OK	 
USER	Result API Dev	END	1721421020695
USER	Result API Dev	START	1721421020695
REQUEST		CREATE Item	1721421020569	1721421020891	OK	 
REQUEST		GET Item 	1721421019915	1721421020954	OK	 
USER	Result API Dev	END	1721421020955
USER	Result API Dev	START	1721421020955
REQUEST		CREATE Item	1721421020581	1721421020964	OK	 
REQUEST		CREATE Item	1721421020695	1721421021064	OK	 
REQUEST		UPDATE Item	1721421020892	1721421021251	OK	 
REQUEST		GET Item 	1721421020220	1721421021270	OK	 
USER	Result API Dev	END	1721421021271
USER	Result API Dev	START	1721421021271
REQUEST		CREATE Item	1721421020245	1721421021294	OK	 
REQUEST		CREATE Item	1721421020955	1721421021335	OK	 
REQUEST		UPDATE Item	1721421021065	1721421021414	OK	 
REQUEST		CREATE Item	1721421020407	1721421021509	OK	 
REQUEST		GET Item 	1721421021252	1721421021564	OK	 
USER	Result API Dev	END	1721421021565
USER	Result API Dev	START	1721421021565
REQUEST		CREATE Item	1721421020512	1721421021603	OK	 
REQUEST		UPDATE Item	1721421021294	1721421021632	OK	 
REQUEST		CREATE Item	1721421020568	1721421021646	OK	 
REQUEST		CREATE Item	1721421021272	1721421021646	OK	 
REQUEST		UPDATE Item	1721421021335	1721421021692	OK	 
REQUEST		CREATE Item	1721421020690	1721421021705	OK	 
REQUEST		GET Item 	1721421021415	1721421021772	OK	 
USER	Result API Dev	END	1721421021773
USER	Result API Dev	START	1721421021773
REQUEST		UPDATE Item	1721421021509	1721421021834	OK	 
REQUEST		GET Item 	1721421021633	1721421021935	OK	 
USER	Result API Dev	END	1721421021936
USER	Result API Dev	START	1721421021936
REQUEST		UPDATE Item	1721421020964	1721421021959	OK	 
REQUEST		UPDATE Item	1721421021646	1721421021978	OK	 
REQUEST		GET Item 	1721421021693	1721421021982	OK	 
USER	Result API Dev	END	1721421021983
USER	Result API Dev	START	1721421021983
REQUEST		UPDATE Item	1721421021647	1721421022044	OK	 
REQUEST		UPDATE Item	1721421021706	1721421022052	OK	 
REQUEST		CREATE Item	1721421021774	1721421022104	OK	 
REQUEST		GET Item 	1721421021835	1721421022134	OK	 
USER	Result API Dev	END	1721421022135
USER	Result API Dev	START	1721421022136
REQUEST		CREATE Item	1721421021937	1721421022263	OK	 
REQUEST		GET Item 	1721421021960	1721421022276	OK	 
USER	Result API Dev	END	1721421022277
USER	Result API Dev	START	1721421022277
REQUEST		GET Item 	1721421021978	1721421022292	OK	 
USER	Result API Dev	END	1721421022292
USER	Result API Dev	START	1721421022292
REQUEST		GET Item 	1721421022045	1721421022343	OK	 
USER	Result API Dev	END	1721421022344
USER	Result API Dev	START	1721421022344
REQUEST		CREATE Item	1721421022136	1721421022450	OK	 
REQUEST		UPDATE Item	1721421022104	1721421022463	OK	 
REQUEST		UPDATE Item	1721421022264	1721421022568	OK	 
REQUEST		UPDATE Item	1721421021603	1721421022621	OK	 
REQUEST		CREATE Item	1721421022293	1721421022622	OK	 
REQUEST		CREATE Item	1721421021565	1721421022650	OK	 
REQUEST		CREATE Item	1721421022277	1721421022650	OK	 
REQUEST		CREATE Item	1721421022345	1721421022711	OK	 
REQUEST		GET Item 	1721421022463	1721421022750	OK	 
USER	Result API Dev	END	1721421022751
USER	Result API Dev	START	1721421022752
REQUEST		UPDATE Item	1721421022451	1721421022806	OK	 
REQUEST		GET Item 	1721421022568	1721421022890	OK	 
USER	Result API Dev	END	1721421022891
USER	Result API Dev	START	1721421022891
REQUEST		GET Item 	1721421022621	1721421022937	OK	 
USER	Result API Dev	END	1721421022938
REQUEST		UPDATE Item	1721421022623	1721421022974	OK	 
REQUEST		UPDATE Item	1721421022651	1721421023018	OK	 
REQUEST		CREATE Item	1721421021983	1721421023018	OK	 
REQUEST		UPDATE Item	1721421022711	1721421023027	OK	 
REQUEST		GET Item 	1721421022052	1721421023128	OK	 
USER	Result API Dev	END	1721421023129
REQUEST		CREATE Item	1721421022752	1721421023138	OK	 
REQUEST		GET Item 	1721421022807	1721421023152	OK	 
USER	Result API Dev	END	1721421023153
REQUEST		CREATE Item	1721421022892	1721421023223	OK	 
REQUEST		GET Item 	1721421022974	1721421023280	OK	 
USER	Result API Dev	END	1721421023281
REQUEST		GET Item 	1721421023018	1721421023304	OK	 
USER	Result API Dev	END	1721421023305
REQUEST		GET Item 	1721421023027	1721421023334	OK	 
USER	Result API Dev	END	1721421023335
REQUEST		UPDATE Item	1721421023139	1721421023475	OK	 
REQUEST		UPDATE Item	1721421023223	1721421023511	KO	status.find.is(200), but actually found 405
REQUEST		UPDATE Item	1721421022651	1721421023663	KO	status.find.is(200), but actually found 405
REQUEST		GET Item 	1721421023475	1721421023778	KO	status.find.is(200), but actually found 405
USER	Result API Dev	END	1721421023779
REQUEST		GET Item 	1721421023519	1721421023820	KO	status.find.is(200), but actually found 405
USER	Result API Dev	END	1721421023821
REQUEST		GET Item 	1721421023663	1721421023973	KO	status.find.is(200), but actually found 405
USER	Result API Dev	END	1721421023974
REQUEST		UPDATE Item	1721421023019	1721421024030	KO	status.find.is(200), but actually found 405
REQUEST		GET Item 	1721421024030	1721421024325	KO	status.find.is(200), but actually found 405
USER	Result API Dev	END	1721421024326
